NBHDNo,NBHDName,TSNS 2020 Designation,Median total income of private household in 2020 ($),Median total income of economic family in 2020 ($),Participation rate,Employment rate,Unemployment rate,"No certificate, diploma or degree (%)",High (secondary) school diploma or equivalency certificate (%),"Postsecondary certificate, diploma or degree (%)",No_of_Branches,No_of_Workstations,No_of_Programs,visits_2015,visits_2016,visits_2017,visits_2018,visits_2019,reg_2015,reg_2016,reg_2017,reg_2018,reg_2019,circ_2015,circ_2016,circ_2017,circ_2018,circ_2019,wrkstn_use_2015,wrkstn_use_2016,wrkstn_use_2017,wrkstn_use_2018,wrkstn_use_2019
100,Yonge-Eglinton,Not an NIA or Emerging Neighbourhood,94000,155000,71.0,62.8,11.5,6.55,15.06,78.34,1,27,2,306319,364658,391543,373362,373362,2466,3050,3384,4164,4118,453583,458418,456927,432317,420227,112235,117080,120673,104897,92396
101,Forest Hill South,Not an NIA or Emerging Neighbourhood,109000,188000,63.9,58.2,8.9,6.53,16.84,76.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Forest Hill North,Not an NIA or Emerging Neighbourhood,90000,124000,68.5,60.5,11.6,8.22,20.76,70.98,1,7,1,101125,108116,117222,113245,113245,1004,866,951,1093,1091,198480,200010,189387,181125,172300,21600,20350,21500,14583,17319
103,Lawrence Park South,Not an NIA or Emerging Neighbourhood,162000,244000,63.6,57.4,9.8,8.15,16.07,75.78,1,12,0,169263,188439,215365,206804,206804,1526,1503,1849,2111,2157,336679,339256,352148,349360,335761,42075,47125,46140,40048,36896
105,Lawrence Park North,Not an NIA or Emerging Neighbourhood,168000,228000,67.4,60.1,10.9,7.9,15.21,76.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Humewood-Cedarvale,Not an NIA or Emerging Neighbourhood,83000,132000,71.0,63.3,10.8,8.07,19.55,72.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Oakwood Village,Not an NIA or Emerging Neighbourhood,77000,105000,64.9,56.7,12.6,19.99,23.93,56.08,2,46,5,278506,316247,328702,315461,315461,2299,2389,2212,2607,2758,381113,354522,328765,334933,320524,173800,179700,154752,103431,98974
108,Briar Hill-Belgravia,Not an NIA or Emerging Neighbourhood,81000,102000,65.4,56.3,13.9,18.0,24.07,57.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Caledonia-Fairbank,Not an NIA or Emerging Neighbourhood,87000,102000,65.7,57.1,12.9,30.2,24.43,45.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Keelesdale-Eglinton West,Neighbourhood Improvement Area,77000,95000,60.1,51.1,14.9,31.88,28.81,39.3,1,12,0,52900,47549,48477,46693,46693,524,548,573,605,731,81207,79388,67336,62447,64150,34325,30325,25888,13481,12828
