NBHDNo,NBHDName,BranchCode,BranchName,Year,Visits
122,Birchcliffe-Cliffside,TA,Taylor Memorial,2015,41388
055,Thorncliffe Park,TH,Thorncliffe,2015,189550
058,Old East York,TOD,Todmorden Room,2015,28400
098,Rosedale-Moore Park,TRL,Toronto Reference Library,2015,1310779
043,Victoria Village,VV,Victoria Village,2015,32275
113,Weston,WE,Weston,2015,89225
022,Humbermede,WP,Woodview Park,2015,41450
129,Agincourt North,WS,Woodside Square,2015,405225
096,Casa Loma,WY,Wychwood,2015,116525
095,Annex,YO,Yorkville,2015,157850
025,Glenfield-Jane Heights,YW,York Woods,2015,220492
002,Mount Olive-Silverstone-Jamestown,AB,Albion,2016,208251
120,Clairlea-Birchmount,ACD,Albert Campbell,2016,310244
020,Alderwood,AD,Alderwood,2016,99865
118,Tam O'Shanter-Sullivan,AG,Agincourt,2016,313157
039,Bedford Park-Nortown,AH,Armour Heights,2016,67355
090,Junction Area,AN,Annette Street,2016,114135
030,Brookhaven-Amesbury,AP,Amesbury Park,2016,56483
150,Fenside-Parkwoods,BB,Brookbanks,2016,71442
154,Oakdale-Beverley Heights,BC,Black Creek,2016,107969
157,Bendale South,BD,Bendale,2016,57910
063,The Beaches,BE,Beaches,2016,187288
032,Englemount-Lawrence,BF,Barbara Frum,2016,234632
083,Dufferin Grove,BL,Bloor/Gladstone,2016,364124
015,Kingsway South,BR,Brentwood,2016,248601
147,L'Amoreaux West,BRW,Bridlewood,2016,423004
146,Malvern East,BUR,Burrows Hall,2016,92664
123,Cliffcrest,CC,Cliffcrest,2016,69148
035,Westminster-Branson,CE,Centennial,2016,124345
141,Golfdale-Cedarbrae-Woburn,CED,Cedarbrae,2016,363118
170,Yonge-Bay Corridor,CH,City Hall,2016,198786
037,Willowdale West,CL,North York Central Library,2016,1347718
080,Palmerston-Little Italy,CS,College/Shaw,2016,103681
064,Woodbine Corridor,DA,Danforth/Coxwell,2016,173523
042,Banbury-Don Mills,DM,Don Mills,2016,258252
155,Downsview,DO,Downsview,2016,206115
098,Rosedale-Moore Park,DP,Deer Park,2016,281764
