NBHDNo,NBHDName,BranchCode,BranchName,Year,Registrations
095,Annex,SP,Spadina Road,2017,743
116,Steeles,ST,Steeles,2017,897
087,High Park-Swansea,SW,Swansea Memorial,2017,203
059,Danforth Village - East York,SWS,S. Walter Stewart,2017,1339
122,Birchcliffe-Cliffside,TA,Taylor Memorial,2017,343
055,Thorncliffe Park,TH,Thorncliffe,2017,1599
058,Old East York,TOD,Todmorden Room,2017,209
098,Rosedale-Moore Park,TRL,Toronto Reference Library,2017,13511
043,Victoria Village,VV,Victoria Village,2017,471
113,Weston,WE,Weston,2017,1067
022,Humbermede,WP,Woodview Park,2017,506
129,Agincourt North,WS,Woodside Square,2017,2046
096,Casa Loma,WY,Wychwood,2017,1101
095,Annex,YO,Yorkville,2017,1215
025,Glenfield-Jane Heights,YW,York Woods,2017,2952
002,Mount Olive-Silverstone-Jamestown,AB,Albion,2018,7788
120,Clairlea-Birchmount,ACD,Albert Campbell,2018,1789
020,Alderwood,AD,Alderwood,2018,733
118,Tam O'Shanter-Sullivan,AG,Agincourt,2018,3658
039,Bedford Park-Nortown,AH,Armour Heights,2018,859
090,Junction Area,AN,Annette Street,2018,1349
030,Brookhaven-Amesbury,AP,Amesbury Park,2018,1045
150,Fenside-Parkwoods,BB,Brookbanks,2018,1233
154,Oakdale-Beverley Heights,BC,Black Creek,2018,1688
157,Bendale South,BD,Bendale,2018,1055
063,The Beaches,BE,Beaches,2018,1810
032,Englemount-Lawrence,BF,Barbara Frum,2018,2884
083,Dufferin Grove,BL,Bloor/Gladstone,2018,3787
015,Kingsway South,BR,Brentwood,2018,2483
147,L'Amoreaux West,BRW,Bridlewood,2018,2908
146,Malvern East,BUR,Burrows Hall,2018,1056
123,Cliffcrest,CC,Cliffcrest,2018,963
035,Westminster-Branson,CE,Centennial,2018,2296
141,Golfdale-Cedarbrae-Woburn,CED,Cedarbrae,2018,4913
170,Yonge-Bay Corridor,CH,City Hall,2018,3182
037,Willowdale West,CL,North York Central Library,2018,12469
080,Palmerston-Little Italy,CS,College/Shaw,2018,1203
064,Woodbine Corridor,DA,Danforth/Coxwell,2018,1314
042,Banbury-Don Mills,DM,Don Mills,2018,2310
155,Downsview,DO,Downsview,2018,2468
098,Rosedale-Moore Park,DP,Deer Park,2018,2462
054,O'Connor-Parkview,DR,Dawes Road,2018,1381
094,Wychwood,DT,Davenport,2018,452
092,Corso Italia-Davenport,DU,Dufferin/St. Clair,2018,1420
158,Islington,EA,Eatonville,2018,3085
011,Eringate-Centennial-West Deane,EB,Elmbrook Park,2018,476
110,Keelesdale-Eglinton West,EG,Evelyn Gregory,2018,605
052,Bayview Village,EN,Ethennonnhawahstihnen',2018,2812
120,Clairlea-Birchmount,ES,Eglinton Square,2018,2646
102,Forest Hill North,FH,Forest Hill,2018,1093
165,Harbourfront-CityPlace,FO,Fort York,2018,4097
044,Flemingdon Park,FP,Flemingdon Park,2018,1132
047,Don Valley Village,FV,Fairview,2018,8251
065,Greenwood-Coxwell,GE,Gerrard/Ashdale,2018,774
130,Milliken,GHP,Goldhawk Park,2018,942
140,Guildwood,GW,Guildwood,2018,477
016,Stonegate-Queensway,HB,Humber Bay,2018,783
134,Highland Creek,HC,Highland Creek,2018,1016
048,Hillcrest Village,HIL,Hillcrest,2018,1057
087,High Park-Swansea,HP,High Park,2018,1525
021,Humber Summit,HS,Humber Summit,2018,790
001,West Humber-Clairville,HW,Humberwood,2018,680
089,Runnymede-Bloor West Village,JD,Jane/Dundas,2018,1672
070,South Riverdale,JO,Jones,2018,907
025,Glenfield-Jane Heights,JS,Jane/Sheppard,2018,1270
125,Ionview,KE,Kennedy/Eglinton,2018,1492
019,Long Branch,LB,Long Branch,2018,908
056,Leaside-Bennington,LE,Leaside,2018,1511
103,Lawrence Park South,LO,Locke,2018,2111
078,Kensington-Chinatown,LS,Lillian H. Smith,2018,3555
062,East End-Danforth,MA,Main Street,2018,1195
146,Malvern East,MAL,Malvern,2018,3394
107,Oakwood-Vaughan,MAS,Maria A. Shchuka,2018,1873
126,Dorset Park,MCG,McGregor Park,2018,1542
115,Mount Dennis,MD,Mount Dennis,2018,912
160,Mimico-Queensway,MI,Mimico Centennial,2018,1056
099,Mount Pleasant East,MP,Mount Pleasant,2018,837
119,Wexford-Maryvale,MRV,Maryvale,2018,1538
136,West Hill,MS,Morningside,2018,1573
100,Yonge-Eglinton,ND,Northern District,2018,4164
001,West Humber-Clairville,NE,Northern Elms,2018,512
