NBHDNo,NBHDName,BranchCode,BranchName,Year,Circulation
092,Corso Italia-Davenport,DU,Dufferin/St. Clair,2018,169416
158,Islington,EA,Eatonville,2018,463951
011,Eringate-Centennial-West Deane,EB,Elmbrook Park,2018,125978
110,Keelesdale-Eglinton West,EG,Evelyn Gregory,2018,62447
052,Bayview Village,EN,Ethennonnhawahstihnen',2018,429168
120,Clairlea-Birchmount,ES,Eglinton Square,2018,204647
102,Forest Hill North,FH,Forest Hill,2018,181125
165,Harbourfront-CityPlace,FO,Fort York,2018,227453
044,Flemingdon Park,FP,Flemingdon Park,2018,103736
047,Don Valley Village,FV,Fairview,2018,683924
065,Greenwood-Coxwell,GE,Gerrard/Ashdale,2018,171810
130,Milliken,GHP,Goldhawk Park,2018,202870
140,Guildwood,GW,Guildwood,2018,97265
016,Stonegate-Queensway,HB,Humber Bay,2018,156811
134,Highland Creek,HC,Highland Creek,2018,145360
048,Hillcrest Village,HIL,Hillcrest,2018,298415
087,High Park-Swansea,HP,High Park,2018,302244
021,Humber Summit,HS,Humber Summit,2018,53901
001,West Humber-Clairville,HW,Humberwood,2018,55565
089,Runnymede-Bloor West Village,JD,Jane/Dundas,2018,269642
070,South Riverdale,JO,Jones,2018,160471
025,Glenfield-Jane Heights,JS,Jane/Sheppard,2018,81754
125,Ionview,KE,Kennedy/Eglinton,2018,130416
019,Long Branch,LB,Long Branch,2018,130359
056,Leaside-Bennington,LE,Leaside,2018,344926
103,Lawrence Park South,LO,Locke,2018,349360
078,Kensington-Chinatown,LS,Lillian H. Smith,2018,322224
062,East End-Danforth,MA,Main Street,2018,242978
146,Malvern East,MAL,Malvern,2018,312335
107,Oakwood-Vaughan,MAS,Maria A. Shchuka,2018,201845
126,Dorset Park,MCG,McGregor Park,2018,158704
115,Mount Dennis,MD,Mount Dennis,2018,104754
160,Mimico-Queensway,MI,Mimico Centennial,2018,172926
099,Mount Pleasant East,MP,Mount Pleasant,2018,153772
119,Wexford-Maryvale,MRV,Maryvale,2018,162654
136,West Hill,MS,Morningside,2018,152677
100,Yonge-Eglinton,ND,Northern District,2018,432317
001,West Humber-Clairville,NE,Northern Elms,2018,66929
018,New Toronto,NT,New Toronto,2018,128546
107,Oakwood-Vaughan,OV,Oakwood Village Library and Arts Centre,2018,133088
069,Blake-Jones,PA,Pape/Danforth,2018,374726
171,Junction-Wallace Emerson,PE,Perth/Dupont,2018,94768
085,South Parkdale,PK,Parkdale,2018,324230
073,Moss Park,PL,Parliament Street,2018,191193
095,Annex,PM,Palmerston,2018,189682
133,Centennial Scarborough,PU,Port Union,2018,202041
046,Pleasant View,PV,Pleasant View,2018,157096
070,South Riverdale,QS,Queen/Saulter,2018,111106
068,North Riverdale,RD,Riverdale,2018,223472
007,Willowridge-Martingrove-Richview,RI,Richview,2018,540718
088,High Park North,RN,Runnymede,2018,421173
004,Rexdale-Kipling,RX,Rexdale,2018,66414
078,Kensington-Chinatown,SA,Sanderson,2018,178416
156,Bendale -Glen Andrew,SC,Scarborough Civic Centre,2018,172722
091,Weston-Pellam Park,SI,St. Clair/Silverthorn,2018,4239
074,North St. James Town,SJ,St. James Town,2018,221964
